2025-03-31 12:09:27,244 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:09:28,266 - INFO - Metrics: CPU=7.8%, RAM=57.3%, Disk=45.1%
2025-03-31 12:09:31,318 - INFO - Metrics: CPU=7.6%, RAM=57.2%, Disk=45.1%
2025-03-31 12:09:34,340 - INFO - Metrics: CPU=7.4%, RAM=57.1%, Disk=45.1%
2025-03-31 12:09:37,125 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:09:37,494 - INFO - Metrics: CPU=35.7%, RAM=57.5%, Disk=45.1%
2025-03-31 12:09:38,145 - INFO - Metrics: CPU=58.0%, RAM=57.6%, Disk=45.1%
2025-03-31 12:09:39,808 - INFO - Metrics: CPU=8.1%, RAM=57.6%, Disk=45.1%
2025-03-31 12:09:42,885 - INFO - Metrics: CPU=9.2%, RAM=57.9%, Disk=45.1%
2025-03-31 12:09:45,908 - INFO - Metrics: CPU=10.7%, RAM=57.8%, Disk=45.1%
2025-03-31 12:09:48,932 - INFO - Metrics: CPU=7.0%, RAM=57.5%, Disk=45.1%
2025-03-31 12:09:51,956 - INFO - Metrics: CPU=10.7%, RAM=57.4%, Disk=45.1%
2025-03-31 12:09:55,024 - INFO - Metrics: CPU=4.7%, RAM=57.6%, Disk=45.1%
2025-03-31 12:09:58,047 - INFO - Metrics: CPU=4.3%, RAM=57.6%, Disk=45.1%
2025-03-31 12:10:01,069 - INFO - Metrics: CPU=7.9%, RAM=57.7%, Disk=45.1%
2025-03-31 12:10:04,093 - INFO - Metrics: CPU=5.2%, RAM=57.4%, Disk=45.1%
2025-03-31 12:10:07,182 - INFO - Metrics: CPU=13.9%, RAM=57.4%, Disk=45.1%
2025-03-31 12:10:10,226 - INFO - Metrics: CPU=7.4%, RAM=57.5%, Disk=45.1%
2025-03-31 12:10:13,246 - INFO - Metrics: CPU=5.6%, RAM=57.8%, Disk=45.1%
2025-03-31 12:10:16,267 - INFO - Metrics: CPU=10.1%, RAM=57.6%, Disk=45.1%
2025-03-31 12:10:19,288 - INFO - Metrics: CPU=6.2%, RAM=57.6%, Disk=45.1%
2025-03-31 12:10:22,307 - INFO - Metrics: CPU=6.5%, RAM=57.6%, Disk=45.1%
2025-03-31 12:10:25,327 - INFO - Metrics: CPU=9.5%, RAM=57.6%, Disk=45.1%
2025-03-31 12:10:28,346 - INFO - Metrics: CPU=6.1%, RAM=57.4%, Disk=45.1%
2025-03-31 12:10:31,365 - INFO - Metrics: CPU=5.8%, RAM=57.3%, Disk=45.1%
2025-03-31 12:10:34,385 - INFO - Metrics: CPU=13.3%, RAM=57.4%, Disk=45.1%
2025-03-31 12:10:37,402 - INFO - Metrics: CPU=6.9%, RAM=57.5%, Disk=45.1%
2025-03-31 12:10:40,420 - INFO - Metrics: CPU=9.4%, RAM=57.4%, Disk=45.1%
